false_positive_rate,true_positive_rate,partition,feature_set
0.089650317,0.563094209,train,full features
0.09011969,0.563094209,train,full features
0.09011969,0.563958513,train,full features
0.090354377,0.563958513,train,full features
0.090354377,0.564390666,train,full features
0.09082375,0.564390666,train,full features
0.09082375,0.56525497,train,full features
0.091058437,0.56525497,train,full features
0.091058437,0.566119274,train,full features
0.09152781,0.566119274,train,full features
0.09152781,0.568712187,train,full features
0.091762497,0.568712187,train,full features
0.091762497,0.569576491,train,full features
0.092466557,0.569576491,train,full features
0.092466557,0.570008643,train,full features
0.092701244,0.570008643,train,full features
0.092701244,0.570440795,train,full features
0.092935931,0.570440795,train,full features
0.092935931,0.570872947,train,full features
0.093405304,0.570872947,train,full features
0.093405304,0.571737252,train,full features
0.093874677,0.571737252,train,full features
0.093874677,0.572169404,train,full features
0.094109364,0.572169404,train,full features
0.094109364,0.572601556,train,full features
0.094344051,0.572601556,train,full features
0.094344051,0.573033708,train,full features
0.094813424,0.573033708,train,full features
0.094813424,0.574330164,train,full features
0.095048111,0.574330164,train,full features
0.095048111,0.576058773,train,full features
0.095752171,0.576058773,train,full features
0.095752171,0.57951599,train,full features
0.096456231,0.57951599,train,full features
0.096456231,0.579948142,train,full features
0.096690918,0.579948142,train,full features
0.096690918,0.580380294,train,full features
0.097160291,0.580380294,train,full features
0.097160291,0.581244598,train,full features
0.097394978,0.581244598,train,full features
0.097394978,0.58167675,train,full features
0.097864351,0.58167675,train,full features
0.097864351,0.582108902,train,full features
0.098333724,0.582108902,train,full features
0.098333724,0.583837511,train,full features
0.099037785,0.583837511,train,full features
0.099037785,0.584269663,train,full features
0.099272471,0.584269663,train,full features
0.099272471,0.584701815,train,full features
0.099507158,0.584701815,train,full features
0.099507158,0.585133967,train,full features
0.099741845,0.585133967,train,full features
0.099741845,0.586862576,train,full features
0.099976531,0.586862576,train,full features
0.099976531,0.587294728,train,full features
0.100211218,0.587294728,train,full features
0.100211218,0.588591184,train,full features
0.100680591,0.588591184,train,full features
0.100680591,0.591184097,train,full features
0.100915278,0.591184097,train,full features
0.100915278,0.592048401,train,full features
0.101149965,0.592048401,train,full features
0.101149965,0.592912705,train,full features
0.101619338,0.592912705,train,full features
0.101619338,0.59377701,train,full features
0.102088712,0.59377701,train,full features
0.102088712,0.594641314,train,full features
0.102323398,0.594641314,train,full features
0.102323398,0.595073466,train,full features
0.102792772,0.595073466,train,full features
0.102792772,0.596802074,train,full features
0.103027458,0.596802074,train,full features
0.103027458,0.598962835,train,full features
0.103262145,0.598962835,train,full features
0.103262145,0.600259291,train,full features
0.103731518,0.600259291,train,full features
0.103731518,0.6019879,train,full features
0.103966205,0.6019879,train,full features
0.103966205,0.602852204,train,full features
0.104435579,0.602852204,train,full features
0.104435579,0.60414866,train,full features
0.104670265,0.60414866,train,full features
0.104670265,0.604580812,train,full features
0.104904952,0.604580812,train,full features
0.104904952,0.606309421,train,full features
0.105374325,0.606309421,train,full features
0.105374325,0.606741573,train,full features
0.105609012,0.606741573,train,full features
0.105609012,0.608470182,train,full features
0.105843699,0.608470182,train,full features
0.105843699,0.609766638,train,full features
0.106313072,0.609766638,train,full features
0.106313072,0.610630942,train,full features
0.107017132,0.610630942,train,full features
0.107017132,0.611063094,train,full features
0.107486506,0.611063094,train,full features
0.107486506,0.611495246,train,full features
0.107721192,0.611495246,train,full features
0.107721192,0.611927398,train,full features
0.107955879,0.611927398,train,full features
0.107955879,0.614952463,train,full features
0.108894626,0.614952463,train,full features
0.108894626,0.616681072,train,full features
0.109129312,0.616681072,train,full features
0.109129312,0.617113224,train,full features
0.109363999,0.617113224,train,full features
0.109363999,0.61840968,train,full features
0.109598686,0.61840968,train,full features
0.109598686,0.619706137,train,full features
0.109833372,0.619706137,train,full features
0.109833372,0.620570441,train,full features
0.110068059,0.620570441,train,full features
0.110068059,0.621434745,train,full features
0.110302746,0.621434745,train,full features
0.110302746,0.622299049,train,full features
0.110537433,0.622299049,train,full features
0.110537433,0.62445981,train,full features
0.111241493,0.62445981,train,full features
0.111241493,0.624891962,train,full features
0.112414926,0.624891962,train,full features
0.112414926,0.628781331,train,full features
0.112884299,0.628781331,train,full features
0.112884299,0.629645635,train,full features
0.113353673,0.629645635,train,full features
0.113353673,0.630942092,train,full features
0.113823046,0.630942092,train,full features
0.113823046,0.631374244,train,full features
0.114057733,0.631374244,train,full features
0.114057733,0.633535004,train,full features
0.114761793,0.633535004,train,full features
0.114761793,0.633967156,train,full features
0.115231166,0.633967156,train,full features
0.115231166,0.634399309,train,full features
0.115465853,0.634399309,train,full features
0.115465853,0.634831461,train,full features
0.115935226,0.634831461,train,full features
0.115935226,0.637856525,train,full features
0.1164046,0.637856525,train,full features
0.1164046,0.639585134,train,full features
0.116873973,0.639585134,train,full features
0.116873973,0.640017286,train,full features
0.11710866,0.640017286,train,full features
0.11710866,0.641745895,train,full features
0.117578033,0.641745895,train,full features
0.117578033,0.642178047,train,full features
0.11851678,0.642178047,train,full features
0.11851678,0.642610199,train,full features
0.118751467,0.642610199,train,full features
0.118751467,0.643042351,train,full features
0.118986153,0.643042351,train,full features
0.118986153,0.646067416,train,full features
0.11922084,0.646067416,train,full features
0.11922084,0.648660328,train,full features
0.119455527,0.648660328,train,full features
0.119455527,0.649524633,train,full features
0.119690214,0.649524633,train,full features
0.119690214,0.650388937,train,full features
0.120863647,0.650388937,train,full features
0.120863647,0.651685393,train,full features
0.12133302,0.651685393,train,full features
0.12133302,0.652117545,train,full features
0.121567707,0.652117545,train,full features
0.121567707,0.652549697,train,full features
0.122271767,0.652549697,train,full features
0.122271767,0.653414002,train,full features
0.122506454,0.653414002,train,full features
0.122506454,0.653846154,train,full features
0.122975827,0.653846154,train,full features
0.122975827,0.654710458,train,full features
0.123210514,0.654710458,train,full features
0.123210514,0.65514261,train,full features
0.123445201,0.65514261,train,full features
0.123445201,0.656439067,train,full features
0.123679887,0.656439067,train,full features
0.123679887,0.656871219,train,full features
0.124383947,0.656871219,train,full features
